Test Name,"Results (IU/L ormg/dL)","ReferenceRange",Interpretation,Total Protein,7.0,6.0-8.3 g/dL,Normal
"Alanine Aminotransferase(ALT)",75.0,0-40 IU/L,"Elevated (indicating liverinflammation)",,,,
"Aspartate Aminotransferase(AST)",68.0,0-40 IU/L,"Elevated (indicating liverinflammation)",,,,
Alkaline Phosphatase (ALP),92.0,20-140 IU/L,Normal,,,,
Total Bilirubin,1.1,0.1-1.2 mg/dL,Normal,,,,
Albumin,4.2,3.5-5.0 g/dL,Normal,,,,
Total Protein,7.0,6.0-8.3 g/dL,Normal,,,,
Total Protei,7.0,6.0-8.3 g/d,Norma,,,,
"Gamma-GlutamylTransferase (GGT)",40.0,9-48 IU/L,Normal,,,,
,,,,Total Protei,,,
,,,,,7.0,,
,,,,,,6.0-8.3 g/d,
,,,,,,,Norma
